,User ID,Date,Language,Text
53,1569060209292898304,2022-09-11 20:28:00+00:00,en,"@BruteResolution Ngl level 1 autism folks be getting on my nerves 😂 I told one girl ""autism isn't the reason you can't function it's because all you do is drink and smoke weed.""

I'm more considerate for my level 2 &amp; 3 folks"
54,1569059895231537155,2022-09-11 20:26:45+00:00,en,quitting overusing marijuana the devils lettuce whatever imma use it as an incentive like ok was i good today okay go buy that j my love &lt;3
55,1569059757964525569,2022-09-11 20:26:12+00:00,en,"Mentioned to my dad that I’m seeing a neurologist to treat my migraines.
He then texts me a list of all our relatives who died from brain related issues. The odds aren’t in my favor. 
Hooray. Now my anxiety has skyrocketed.
I need Xanax, weed, and DS9 reruns."
56,1569057959237554176,2022-09-11 20:19:03+00:00,en,"RT @LNseven5: Canada Black Market ""Investigators say they seized a street value of almost $5,000,000 in cannabis, including 500 fully grown…"
57,1569057444864589826,2022-09-11 20:17:01+00:00,en,"RT @snoopdoggslungz: 📸 Chem D
🌱(ig) https://t.co/08Krz2QMVZ 
#weed https://t.co/ZK4181FY1f"
58,1569056500521336834,2022-09-11 20:13:16+00:00,en,I was high as fuck for hours . That’s some strong shit no lie . I will just stick to weed . The shrooms not for me ! 🥴
59,1569056196690341889,2022-09-11 20:12:03+00:00,en,@KingslandBid2 @JenGutierrezNYC @EmilyAssembly @NYPD94Pct @ReynosoBrooklyn @DavilaAssembly @Griffinkelly003 @JCAndersonNYC Ima stay here long enough for you to call cops tell them im smoking weed they might come faster
60,1569054672681603077,2022-09-11 20:06:00+00:00,en,@Tumble____weed @Emrys_Angel let me know when n where
61,1569050866358882305,2022-09-11 19:50:52+00:00,en,"Just in case you need it, here's the linkie: 
https://t.co/KewH0k9GkW https://t.co/oa8IEcCIhp"
62,1569050849598668800,2022-09-11 19:50:48+00:00,en,@ZainabOlufemi In the name of weed we meditate...Amen🙏 https://t.co/f2jzwwVkD0
63,1569050774260301825,2022-09-11 19:50:30+00:00,en,"Pick up Dead Wildlife
Dawes Rd &amp; Bexhill Ave
1 &amp; 5 h ago

Pick up Dead Wildlife
Dunlop Ave &amp; Hubert Ave
3h ago

Boulevards - Weed Removal
Danforth Rd &amp; Hubert Ave
22 Hours and 1 Day ago
https://t.co/tzvmVmgO7U"
64,1569050557859471360,2022-09-11 19:49:39+00:00,en,If you telling me God care if I smoke weed that’s some dumb shit — why would he even give a fuck or label that as sin
65,1569050468713910272,2022-09-11 19:49:17+00:00,en,"RT @CAL_FIRE: #MillFire off Woodridge Court and Woodridge Way, near the City of Weed in Siskiyou County is 3,935 acres and 90% contained. @…"
66,1569050456646914048,2022-09-11 19:49:15+00:00,en,"Cannabis propagation 🧑🏻‍🔬🟣🧫🌱
#cannabisindustry #cannabis #hemp #cbd #thisissiu #southerillinoisuniversity #southernillinois #propagation #plantpropagation #cannabidiol #cannabispropagation #science #siuc #siu #led #cannabissciencecenter #cannabisscience https://t.co/5IzWyF1FBh"
67,1569049067052847105,2022-09-11 19:43:43+00:00,en,"Cannabis retail: Shrinkage ahead
Why an industry that added 1,300 stores in the course of a year is ripe for consolidation.
https://t.co/xeyF7Re4mx"
68,1569048632258707460,2022-09-11 19:42:00+00:00,en,Sheppards pie. #cannabisheals #cannabispics #strainbuffet #shepardspie #weed @ Breaking Bad Albuquerque https://t.co/002wSisZo2
69,1569046164711825408,2022-09-11 19:32:11+00:00,en,In need of good head and good weed…😩
70,1569045787933573120,2022-09-11 19:30:41+00:00,en,"RT @CAL_FIRE: #MillFire off Woodridge Court and Woodridge Way, near the City of Weed in Siskiyou County is at 3,935 acres and is 90% contai…"
71,1569044452949508096,2022-09-11 19:25:23+00:00,en,"@pulte 💥🤞💥I would be a blessing to be in my boys to be able to do laundry.Get my 4-year-old some new shoes cuz he's growing like a weed. take my boys just for them go 4 weekend they've been so resilient through the struggle and now slowly building back CASH APP💲
$Manythanks22a"
72,1569043865910353920,2022-09-11 19:23:03+00:00,en,Strong international medical #cannabis market still in its infancy🌿thinking it wise to diversify into Europe $CURLF $TLRY $INCR $IMCC $CLVR #LFGrow🌿 https://t.co/wmieCfWnTS
73,1569043642018570240,2022-09-11 19:22:10+00:00,en,It kills me when I see the goodies from grade school smoking weed like wasn’t u just a nerd?
